ticket_id,date_id,customer_id,store_id,resolution_time_hours,ticket_count,escalation_flag,issue_type,status
111,7,16730,,72,1,1,return_request,resolved
112,19,42142,23,24,1,0,technical_issue,resolved
113,11,22501,,24,1,0,warranty_claim,resolved
114,10,15500,,4,1,0,return_request,resolved
115,21,40531,,2,1,0,return_request,resolved
116,10,45504,21,8,1,0,delivery_problem,resolved
117,14,19031,,4,1,0,return_request,resolved
118,12,26147,,72,1,1,return_request,resolved
119,16,46137,,120,1,1,return_request,resolved
120,13,19356,,8,1,0,return_request,resolved
121,14,21873,,24,1,0,return_request,resolved
122,13,30431,,24,1,0,billing_issue,resolved
123,14,42560,,48,1,0,return_request,pending
124,9,18132,,24,1,0,return_request,resolved
125,20,31759,,2,1,0,return_request,resolved
126,21,7280,,8,1,0,return_request,resolved
127,19,5007,,4,1,0,return_request,resolved
128,12,7147,,24,1,0,return_request,resolved
129,10,20574,,2,1,0,return_request,resolved
130,16,21348,,24,1,0,return_request,in_progress
131,11,36113,,8,1,0,return_request,resolved
132,8,682,,8,1,0,billing_issue,resolved
133,13,49903,,8,1,0,return_request,resolved
134,18,40886,,4,1,0,billing_issue,resolved
135,11,27735,,2,1,0,return_request,resolved
136,10,39193,22,2,1,0,delivery_problem,resolved
137,22,14993,,24,1,0,return_request,resolved
138,12,41640,,72,1,1,return_request,resolved
139,11,14585,,24,1,0,return_request,resolved
140,11,39299,,2,1,0,return_request,resolved
141,23,27755,,72,1,1,return_request,resolved
142,11,37837,,24,1,0,return_request,resolved
143,21,13761,,4,1,0,return_request,resolved
144,10,6911,,48,1,0,return_request,resolved
145,11,2566,,48,1,0,technical_issue,resolved
146,14,5078,21,48,1,0,return_request,in_progress
147,20,14900,,2,1,0,return_request,resolved
148,12,3057,,48,1,0,return_request,resolved
149,12,49227,,24,1,0,return_request,resolved
150,16,8420,13,48,1,0,product_inquiry,resolved
151,13,46048,4,8,1,0,delivery_problem,in_progress
152,21,18832,,8,1,0,billing_issue,resolved
153,20,49711,,4,1,0,warranty_claim,resolved
154,15,30196,,24,1,0,return_request,resolved
155,19,47821,,48,1,0,warranty_claim,resolved
156,10,13739,,24,1,0,return_request,resolved
157,11,24377,,4,1,0,return_request,resolved
158,24,25897,,8,1,0,return_request,resolved
159,14,32233,,48,1,0,product_inquiry,resolved
160,13,23949,,8,1,0,return_request,resolved
161,18,35257,,120,1,1,return_request,resolved
162,14,10820,,72,1,1,return_request,resolved
163,12,39560,,120,1,1,delivery_problem,resolved
164,12,26389,,2,1,0,return_request,resolved
165,21,38114,,4,1,0,return_request,resolved
166,15,49204,,24,1,0,technical_issue,resolved
167,20,34483,,8,1,0,return_request,resolved
168,22,45831,,72,1,1,return_request,resolved
169,25,4826,17,24,1,0,warranty_claim,resolved
170,25,15601,,48,1,0,return_request,resolved
171,17,18695,,120,1,1,return_request,in_progress
172,22,23073,,120,1,1,return_request,resolved
173,25,12827,,8,1,0,delivery_problem,resolved
174,22,40677,,48,1,0,return_request,resolved
175,12,19590,7,4,1,0,return_request,resolved
176,13,33942,,48,1,0,technical_issue,resolved
177,19,411,,24,1,0,return_request,resolved
178,22,12115,,8,1,0,warranty_claim,resolved
179,13,41200,,4,1,0,return_request,resolved
180,14,22736,,8,1,0,product_inquiry,resolved
181,14,17163,,4,1,0,return_request,resolved
182,24,11054,,24,1,0,delivery_problem,resolved
183,15,15924,,4,1,0,warranty_claim,resolved
184,25,22736,,72,1,1,return_request,resolved
185,16,6868,,8,1,0,return_request,resolved
186,22,46828,,72,1,1,return_request,resolved
187,20,24111,,8,1,0,technical_issue,resolved
188,25,16708,,48,1,0,return_request,in_progress
189,23,15944,,4,1,0,return_request,resolved
190,24,49891,27,48,1,0,delivery_problem,resolved
191,16,31307,1,48,1,0,product_inquiry,resolved
192,12,32327,16,72,1,1,billing_issue,resolved
193,26,16096,,4,1,0,return_request,resolved
194,25,626,4,48,1,0,delivery_problem,resolved
195,27,370,,72,1,1,return_request,resolved
196,26,1588,,72,1,1,billing_issue,resolved
197,19,28717,,48,1,0,return_request,resolved
198,14,39486,,24,1,0,return_request,resolved
199,21,32974,,4,1,0,return_request,in_progress
200,20,32332,,120,1,1,return_request,resolved
201,15,20911,,2,1,0,return_request,resolved
202,22,46494,,24,1,0,return_request,resolved
203,15,22176,,48,1,0,return_request,pending
204,14,20109,,4,1,0,return_request,resolved
205,15,23893,,48,1,0,return_request,resolved
206,16,24136,,24,1,0,return_request,resolved
207,27,25201,,4,1,0,technical_issue,resolved
208,15,4444,,8,1,0,delivery_problem,resolved
209,27,38102,,4,1,0,return_request,resolved
210,27,5018,,24,1,0,warranty_claim,resolved
211,27,150,,24,1,0,return_request,resolved
212,21,15746,,2,1,0,return_request,resolved
213,22,29873,1,168,1,1,return_request,resolved
214,21,12015,,24,1,0,return_request,resolved
215,17,2353,,48,1,0,return_request,resolved
216,15,9933,,24,1,0,technical_issue,resolved
217,15,18041,8,72,1,1,delivery_problem,resolved
218,24,7535,,4,1,0,return_request,resolved
219,25,32318,,48,1,0,return_request,resolved
220,24,6366,,8,1,0,return_request,resolved
221,16,46534,,8,1,0,return_request,in_progress
222,18,17220,17,4,1,0,technical_issue,resolved
223,26,43230,,4,1,0,delivery_problem,resolved
224,20,48634,,120,1,1,technical_issue,resolved
225,19,35954,,4,1,0,return_request,resolved
226,29,34203,,4,1,0,return_request,resolved
227,21,28589,5,48,1,0,return_request,resolved
228,28,25710,,2,1,0,delivery_problem,in_progress
229,28,4262,,2,1,0,billing_issue,resolved
230,16,44126,,48,1,0,billing_issue,resolved
231,24,25296,,8,1,0,return_request,resolved
232,24,23815,,24,1,0,return_request,resolved
233,26,27159,,24,1,0,return_request,resolved
234,15,25532,23,4,1,0,return_request,resolved
235,26,27769,,24,1,0,delivery_problem,resolved
236,26,37013,,2,1,0,return_request,resolved
237,25,24160,,8,1,0,return_request,pending
238,25,15835,,4,1,0,billing_issue,in_progress
239,20,1835,,48,1,0,return_request,resolved
240,28,49349,,24,1,0,return_request,resolved
241,21,4973,,8,1,0,return_request,pending
242,29,43525,23,8,1,0,return_request,resolved
243,30,9073,,72,1,1,warranty_claim,resolved
244,17,12033,,72,1,1,return_request,resolved
245,20,13194,28,4,1,0,product_inquiry,resolved
246,18,33584,,2,1,0,return_request,pending
247,19,1664,,48,1,0,return_request,resolved
248,26,30086,17,8,1,0,warranty_claim,resolved
249,22,16099,,168,1,1,return_request,resolved
250,17,23861,,4,1,0,billing_issue,pending
251,26,43038,,4,1,0,warranty_claim,resolved
252,29,44118,,8,1,0,return_request,resolved
253,26,31217,,72,1,1,billing_issue,resolved
254,23,18153,,24,1,0,return_request,resolved
255,18,25498,,24,1,0,return_request,resolved
256,21,27314,,24,1,0,return_request,resolved
257,18,42717,18,72,1,1,product_inquiry,resolved
258,27,3450,,8,1,0,billing_issue,resolved
259,17,2378,,24,1,0,return_request,in_progress
260,28,27228,,8,1,0,return_request,resolved
261,27,2072,,48,1,0,product_inquiry,resolved
262,27,22784,,4,1,0,return_request,resolved
263,31,12827,,4,1,0,return_request,resolved
264,18,2424,,4,1,0,billing_issue,resolved
265,24,28449,,48,1,0,return_request,resolved
266,19,39318,11,24,1,0,warranty_claim,resolved
267,25,1804,,24,1,0,return_request,resolved
268,18,27618,,8,1,0,return_request,resolved
269,25,6746,,24,1,0,return_request,resolved
270,21,8475,28,48,1,0,billing_issue,resolved
271,23,5105,,8,1,0,delivery_problem,resolved
272,30,46542,,8,1,0,return_request,resolved
273,27,17347,,8,1,0,return_request,resolved
274,25,13876,,8,1,0,return_request,resolved
275,31,24896,,24,1,0,return_request,resolved
276,30,28729,,24,1,0,delivery_problem,resolved
277,22,40833,18,120,1,1,return_request,resolved
278,21,41880,,24,1,0,delivery_problem,pending
279,30,33452,,2,1,0,return_request,resolved
280,30,40763,,24,1,0,return_request,resolved
281,22,2174,,24,1,0,return_request,resolved
282,27,18872,,2,1,0,return_request,resolved
283,21,31300,,24,1,0,billing_issue,resolved
284,34,37896,,72,1,1,return_request,resolved
285,31,43790,,24,1,0,return_request,resolved
286,29,16876,,4,1,0,return_request,resolved
287,34,9431,,48,1,0,return_request,resolved
288,28,439,,8,1,0,return_request,resolved
289,21,4931,,8,1,0,return_request,resolved
290,24,30085,,2,1,0,return_request,resolved
291,28,36628,,48,1,0,product_inquiry,resolved
292,31,33651,,2,1,0,return_request,in_progress
293,28,4074,,8,1,0,return_request,resolved
294,23,33256,,8,1,0,return_request,pending
295,21,4391,,48,1,0,return_request,resolved
296,22,37125,2,48,1,0,warranty_claim,pending
297,21,34611,,24,1,0,return_request,resolved
298,30,20815,,120,1,1,technical_issue,pending
299,36,45574,,24,1,0,return_request,resolved
300,24,17610,,2,1,0,return_request,resolved
301,25,38355,,24,1,0,technical_issue,resolved
302,23,8631,19,48,1,0,warranty_claim,resolved
303,29,30338,,4,1,0,return_request,resolved
304,34,9373,,8,1,0,product_inquiry,resolved
305,32,34781,,8,1,0,return_request,resolved
306,30,6906,12,8,1,0,delivery_problem,resolved
307,35,41136,,24,1,0,delivery_problem,resolved
308,34,14850,,8,1,0,return_request,resolved
309,36,48110,,48,1,0,return_request,resolved
310,27,35037,,8,1,0,return_request,resolved
311,23,46626,,24,1,0,delivery_problem,resolved
312,25,4197,,48,1,0,return_request,resolved
313,28,12092,4,8,1,0,product_inquiry,resolved
314,28,2877,,24,1,0,product_inquiry,resolved
315,24,28700,,8,1,0,product_inquiry,resolved
316,34,33751,,24,1,0,return_request,resolved
317,33,21776,,120,1,1,return_request,resolved
318,33,41425,,48,1,0,return_request,resolved
319,25,31430,,24,1,0,technical_issue,resolved
320,30,38779,,8,1,0,return_request,resolved
321,30,45446,,72,1,1,return_request,resolved
322,31,6343,,8,1,0,return_request,resolved
323,30,38468,,24,1,0,return_request,resolved
324,33,46866,,72,1,1,return_request,resolved
325,30,30123,,4,1,0,return_request,resolved
326,38,12525,1,4,1,0,product_inquiry,resolved
327,31,1298,,8,1,0,return_request,resolved
328,39,3413,,24,1,0,billing_issue,resolved
329,26,42062,,8,1,0,technical_issue,resolved
330,32,48781,,24,1,0,return_request,resolved
331,29,29063,,24,1,0,warranty_claim,resolved
332,29,28367,,24,1,0,technical_issue,resolved
333,33,35441,3,72,1,1,technical_issue,pending
334,28,30529,3,4,1,0,product_inquiry,resolved
335,37,26853,,24,1,0,return_request,pending
336,28,5791,,2,1,0,return_request,resolved
337,40,14396,,4,1,0,return_request,pending
338,40,40922,5,24,1,0,technical_issue,in_progress
339,28,45568,,4,1,0,technical_issue,resolved
340,39,22210,,24,1,0,billing_issue,resolved
341,31,35132,,4,1,0,return_request,resolved
342,32,48794,,2,1,0,product_inquiry,in_progress
343,42,16710,,24,1,0,return_request,resolved
344,40,207,,24,1,0,return_request,resolved
345,33,3718,,48,1,0,return_request,in_progress
346,42,28500,,24,1,0,return_request,resolved
347,34,21230,,24,1,0,return_request,resolved
348,36,48671,,24,1,0,return_request,resolved
349,34,17997,,24,1,0,return_request,resolved
350,34,16401,,4,1,0,return_request,resolved
351,33,26838,,120,1,1,return_request,resolved
352,33,41243,,8,1,0,return_request,pending
353,30,18809,,48,1,0,return_request,pending
354,38,45014,,8,1,0,return_request,resolved
355,37,46600,,24,1,0,return_request,resolved
356,36,23606,,4,1,0,technical_issue,resolved
357,41,3270,,48,1,0,return_request,resolved
358,34,221,,48,1,0,return_request,resolved
359,34,3391,,24,1,0,return_request,resolved
360,37,34827,,48,1,0,return_request,resolved
361,30,10145,12,24,1,0,billing_issue,resolved
362,33,22231,,8,1,0,return_request,resolved
363,34,36018,,24,1,0,return_request,resolved
364,39,27345,,8,1,0,return_request,resolved
365,38,29087,,120,1,1,return_request,resolved
366,36,11351,,24,1,0,return_request,resolved
367,37,20311,,8,1,0,billing_issue,in_progress
368,39,22593,,24,1,0,return_request,resolved
369,44,44522,,24,1,0,warranty_claim,resolved
370,40,25630,,48,1,0,return_request,resolved
371,34,49584,,4,1,0,return_request,resolved
372,31,26847,,8,1,0,return_request,resolved
373,33,32630,1,4,1,0,technical_issue,resolved
374,44,47941,,4,1,0,return_request,resolved
375,38,48290,,48,1,0,return_request,resolved
376,39,2993,,8,1,0,technical_issue,resolved
377,37,43647,,8,1,0,return_request,resolved
378,32,39838,,8,1,0,return_request,resolved
379,42,42902,,24,1,0,return_request,in_progress
380,46,48116,,72,1,1,return_request,pending
381,32,40983,,8,1,0,return_request,resolved
382,36,14750,25,2,1,0,return_request,resolved
383,39,23248,,24,1,0,return_request,resolved
384,42,42661,,24,1,0,technical_issue,resolved
385,39,1811,,4,1,0,billing_issue,resolved
386,34,37486,,24,1,0,return_request,resolved
387,44,22242,,24,1,0,return_request,resolved
388,37,37929,,24,1,0,technical_issue,resolved
389,36,7647,,24,1,0,return_request,resolved
390,42,41718,,4,1,0,return_request,pending
391,40,44357,,8,1,0,return_request,resolved
392,36,38453,,24,1,0,return_request,resolved
393,45,7971,,24,1,0,return_request,resolved
394,35,15533,,24,1,0,return_request,resolved
395,35,27475,,48,1,0,return_request,resolved
396,41,10679,,8,1,0,return_request,resolved
397,45,44112,,8,1,0,return_request,resolved
398,38,15327,11,24,1,0,product_inquiry,resolved
399,41,31535,,2,1,0,return_request,resolved
400,38,4688,,72,1,1,return_request,in_progress
401,40,23447,,24,1,0,return_request,in_progress
402,43,23326,,2,1,0,return_request,resolved
403,48,12723,,24,1,0,return_request,resolved
404,35,12234,,8,1,0,billing_issue,resolved
405,45,26441,,8,1,0,return_request,resolved
406,48,29680,1,2,1,0,delivery_problem,resolved
407,37,41642,,4,1,0,return_request,in_progress
408,49,31848,,8,1,0,billing_issue,pending
409,38,31891,,48,1,0,return_request,resolved
410,37,34679,,24,1,0,return_request,resolved
411,42,5712,,72,1,1,delivery_problem,resolved
412,49,28042,,24,1,0,return_request,pending
413,37,27167,,24,1,0,billing_issue,resolved
414,48,36733,,48,1,0,return_request,in_progress
415,41,14576,,4,1,0,return_request,resolved
416,50,44886,,120,1,1,return_request,resolved
417,47,16928,,2,1,0,warranty_claim,pending
418,41,43635,24,24,1,0,return_request,resolved
419,47,33603,,48,1,0,return_request,pending
420,49,12380,,120,1,1,return_request,resolved
421,47,19551,21,72,1,1,delivery_problem,resolved
422,50,3311,,24,1,0,return_request,resolved
423,50,20871,,24,1,0,return_request,resolved
424,36,20173,,8,1,0,return_request,resolved
425,36,16484,1,48,1,0,billing_issue,resolved
426,40,34018,,4,1,0,technical_issue,resolved
427,39,33862,,2,1,0,return_request,resolved
428,36,33322,,48,1,0,delivery_problem,resolved
429,38,1253,,48,1,0,return_request,resolved
430,44,9243,,24,1,0,return_request,resolved
431,47,17826,,4,1,0,return_request,resolved
432,45,662,,2,1,0,return_request,resolved
433,41,1095,,168,1,1,delivery_problem,resolved
434,41,32028,,8,1,0,return_request,resolved
435,41,1811,,4,1,0,return_request,resolved
436,38,9881,,4,1,0,return_request,in_progress
437,51,32773,,48,1,0,return_request,resolved
438,41,17636,4,8,1,0,return_request,resolved
439,41,16889,,72,1,1,return_request,in_progress
440,46,14573,8,4,1,0,delivery_problem,resolved
441,42,35957,,24,1,0,return_request,resolved
442,51,36055,,48,1,0,warranty_claim,resolved
443,42,38588,,72,1,1,return_request,resolved
444,38,18042,13,24,1,0,delivery_problem,resolved
445,40,48070,,24,1,0,return_request,resolved
446,40,22408,,24,1,0,delivery_problem,resolved
447,43,17226,,24,1,0,return_request,resolved
448,40,18913,,2,1,0,return_request,resolved
449,45,6790,,24,1,0,return_request,resolved
450,45,48007,,2,1,0,return_request,resolved
451,43,773,,2,1,0,return_request,resolved
452,42,44509,22,24,1,0,warranty_claim,resolved
453,40,44195,,48,1,0,return_request,resolved
454,47,38937,,8,1,0,return_request,resolved
455,46,8663,,72,1,1,return_request,resolved
456,39,34329,,4,1,0,technical_issue,resolved
457,51,13128,,24,1,0,return_request,resolved
458,50,44406,13,24,1,0,return_request,resolved
459,49,19532,5,24,1,0,return_request,resolved
460,54,44973,,120,1,1,delivery_problem,resolved
461,41,35123,25,24,1,0,billing_issue,resolved
462,53,26937,26,8,1,0,billing_issue,resolved
463,54,10546,,24,1,0,return_request,resolved
464,42,24282,,48,1,0,return_request,resolved
465,41,46657,,24,1,0,return_request,resolved
466,46,30003,25,48,1,0,delivery_problem,resolved
467,44,6809,7,24,1,0,technical_issue,resolved
468,55,6189,22,72,1,1,technical_issue,resolved
469,53,14774,,4,1,0,return_request,resolved
470,52,8944,,8,1,0,billing_issue,pending
471,55,4919,,8,1,0,return_request,resolved
472,53,49538,,4,1,0,return_request,resolved
473,49,3952,,24,1,0,return_request,in_progress
474,45,7441,,4,1,0,return_request,in_progress
475,45,40789,,8,1,0,return_request,in_progress
476,54,33317,,72,1,1,return_request,resolved
477,52,25768,,8,1,0,return_request,resolved
478,44,34717,,8,1,0,return_request,resolved
479,52,45405,,2,1,0,delivery_problem,resolved
480,43,24066,20,72,1,1,billing_issue,resolved
481,44,36140,,4,1,0,return_request,pending
482,42,16700,,8,1,0,billing_issue,resolved
483,55,49902,,120,1,1,technical_issue,resolved
484,42,39512,,24,1,0,return_request,resolved
485,53,2523,,4,1,0,return_request,resolved
486,48,18885,,8,1,0,return_request,pending
487,52,4240,,24,1,0,return_request,resolved
488,55,23732,,168,1,1,return_request,resolved
489,57,46836,,72,1,1,return_request,resolved
490,48,8640,,48,1,0,return_request,resolved
491,47,10341,,24,1,0,return_request,resolved
492,56,29130,,48,1,0,return_request,resolved
493,45,17047,10,48,1,0,warranty_claim,resolved
494,44,36095,,4,1,0,return_request,resolved
495,53,14260,,4,1,0,billing_issue,resolved
496,45,30860,,4,1,0,return_request,resolved
497,49,15664,,8,1,0,technical_issue,resolved
498,43,5254,,48,1,0,return_request,resolved
499,53,29418,,24,1,0,return_request,resolved
500,52,23287,,48,1,0,return_request,resolved
501,56,18491,,2,1,0,billing_issue,resolved
502,45,41034,,48,1,0,return_request,pending
503,53,31161,,48,1,0,return_request,resolved
504,47,42512,,168,1,1,warranty_claim,resolved
505,52,18298,,24,1,0,return_request,resolved
506,46,29047,9,8,1,0,delivery_problem,resolved
507,53,32812,28,4,1,0,billing_issue,pending
508,49,23786,,24,1,0,return_request,in_progress
509,51,49227,,8,1,0,technical_issue,resolved
510,47,46392,,24,1,0,return_request,resolved
511,50,49174,,72,1,1,return_request,resolved
512,51,4368,,24,1,0,delivery_problem,resolved
513,55,15851,,24,1,0,technical_issue,resolved
514,49,17530,,2,1,0,return_request,resolved
515,46,48216,,48,1,0,return_request,resolved
516,52,27348,,2,1,0,delivery_problem,resolved
517,55,13479,25,168,1,1,billing_issue,resolved
518,47,24710,7,8,1,0,product_inquiry,resolved
519,60,12892,,24,1,0,return_request,resolved
520,54,18036,,8,1,0,return_request,resolved
521,51,16662,,120,1,1,technical_issue,resolved
522,49,38537,28,24,1,0,delivery_problem,resolved
523,57,16177,15,48,1,0,warranty_claim,resolved
524,46,8285,5,72,1,1,delivery_problem,resolved
525,59,10261,,8,1,0,return_request,in_progress
526,46,28598,,48,1,0,billing_issue,resolved
527,51,38449,,4,1,0,return_request,resolved
528,52,43203,2,48,1,0,technical_issue,resolved
529,58,27553,13,24,1,0,technical_issue,resolved
530,48,22029,,8,1,0,return_request,resolved
531,53,19068,,168,1,1,return_request,resolved
532,50,36505,,4,1,0,return_request,resolved
533,61,29970,,24,1,0,billing_issue,pending
534,52,31777,,24,1,0,return_request,resolved
535,55,10889,,24,1,0,delivery_problem,resolved
536,54,18814,,24,1,0,return_request,resolved
537,55,20609,,4,1,0,return_request,resolved
538,55,23646,,8,1,0,return_request,resolved
539,49,32718,,8,1,0,return_request,resolved
540,52,34437,,48,1,0,return_request,resolved
541,48,42907,,2,1,0,return_request,resolved
542,54,40995,,24,1,0,delivery_problem,pending
543,62,48545,,2,1,0,return_request,resolved
544,56,45529,25,120,1,1,billing_issue,resolved
545,48,45633,,48,1,0,return_request,resolved
546,60,28367,,24,1,0,return_request,resolved
547,61,29695,,168,1,1,return_request,resolved
548,54,158,,2,1,0,delivery_problem,resolved
549,57,12398,,48,1,0,return_request,resolved
550,55,35929,,48,1,0,return_request,resolved
551,48,38833,,24,1,0,delivery_problem,resolved
552,58,33613,,48,1,0,return_request,resolved
553,49,10470,,24,1,0,return_request,resolved
554,49,23277,,24,1,0,return_request,resolved
555,60,10011,,4,1,0,return_request,resolved
556,59,24546,,8,1,0,return_request,resolved
557,62,6851,,120,1,1,delivery_problem,resolved
558,63,13543,,120,1,1,return_request,in_progress
559,52,28827,,48,1,0,return_request,resolved
560,50,11038,,24,1,0,return_request,resolved
561,59,48620,13,8,1,0,product_inquiry,resolved
562,51,26640,,24,1,0,return_request,resolved
563,55,1649,,120,1,1,return_request,resolved
564,59,26202,,72,1,1,return_request,resolved
565,56,32711,,8,1,0,return_request,resolved
566,54,22918,,2,1,0,billing_issue,resolved
567,64,14078,,24,1,0,technical_issue,resolved
568,53,37996,,24,1,0,return_request,resolved
569,63,1811,,8,1,0,return_request,pending
570,58,20527,,72,1,1,delivery_problem,resolved
571,63,29225,8,8,1,0,technical_issue,resolved
572,60,49151,,120,1,1,return_request,resolved
573,59,36553,,24,1,0,delivery_problem,resolved
574,52,30981,,48,1,0,return_request,resolved
575,52,24618,27,24,1,0,technical_issue,resolved
576,60,10920,,2,1,0,return_request,resolved
577,60,27928,,24,1,0,return_request,resolved
578,59,18740,,48,1,0,return_request,pending
579,58,24909,,24,1,0,return_request,resolved
580,62,48062,,8,1,0,product_inquiry,pending
581,64,27214,5,48,1,0,technical_issue,resolved
582,61,24661,,72,1,1,return_request,pending
583,59,46705,,8,1,0,return_request,resolved
584,61,17990,,8,1,0,return_request,in_progress
585,65,15218,,4,1,0,product_inquiry,resolved
586,58,18587,,4,1,0,return_request,resolved
587,64,17412,,168,1,1,return_request,resolved
588,62,23385,,2,1,0,return_request,pending
589,57,39071,16,72,1,1,technical_issue,resolved
590,66,41722,,24,1,0,return_request,pending
591,56,7749,,24,1,0,warranty_claim,resolved
592,54,30691,,168,1,1,return_request,resolved
593,65,37319,,4,1,0,return_request,resolved
594,63,33883,,8,1,0,delivery_problem,resolved
595,55,13630,,2,1,0,billing_issue,resolved
596,63,32214,,8,1,0,return_request,resolved
597,65,27888,,24,1,0,technical_issue,resolved
598,65,24044,,8,1,0,return_request,resolved
599,66,27188,,2,1,0,return_request,resolved
600,66,35231,,4,1,0,delivery_problem,resolved
601,55,17029,,4,1,0,warranty_claim,resolved
602,69,39718,,24,1,0,technical_issue,resolved
603,56,39679,,24,1,0,return_request,resolved
604,63,17847,,2,1,0,return_request,resolved
