date_id,full_date,day,week,month,quarter,year,day_of_week,is_weekend
123,2022-05-03,3,18,5,2,2022,1,0
124,2022-05-04,4,18,5,2,2022,2,0
125,2022-05-05,5,18,5,2,2022,3,0
126,2022-05-06,6,18,5,2,2022,4,0
127,2022-05-07,7,18,5,2,2022,5,1
128,2022-05-08,8,18,5,2,2022,6,1
129,2022-05-09,9,19,5,2,2022,0,0
130,2022-05-10,10,19,5,2,2022,1,0
131,2022-05-11,11,19,5,2,2022,2,0
132,2022-05-12,12,19,5,2,2022,3,0
133,2022-05-13,13,19,5,2,2022,4,0
134,2022-05-14,14,19,5,2,2022,5,1
135,2022-05-15,15,19,5,2,2022,6,1
136,2022-05-16,16,20,5,2,2022,0,0
137,2022-05-17,17,20,5,2,2022,1,0
138,2022-05-18,18,20,5,2,2022,2,0
139,2022-05-19,19,20,5,2,2022,3,0
140,2022-05-20,20,20,5,2,2022,4,0
141,2022-05-21,21,20,5,2,2022,5,1
142,2022-05-22,22,20,5,2,2022,6,1
143,2022-05-23,23,21,5,2,2022,0,0
144,2022-05-24,24,21,5,2,2022,1,0
145,2022-05-25,25,21,5,2,2022,2,0
146,2022-05-26,26,21,5,2,2022,3,0
147,2022-05-27,27,21,5,2,2022,4,0
148,2022-05-28,28,21,5,2,2022,5,1
149,2022-05-29,29,21,5,2,2022,6,1
150,2022-05-30,30,22,5,2,2022,0,0
151,2022-05-31,31,22,5,2,2022,1,0
152,2022-06-01,1,22,6,2,2022,2,0
153,2022-06-02,2,22,6,2,2022,3,0
154,2022-06-03,3,22,6,2,2022,4,0
155,2022-06-04,4,22,6,2,2022,5,1
156,2022-06-05,5,22,6,2,2022,6,1
157,2022-06-06,6,23,6,2,2022,0,0
158,2022-06-07,7,23,6,2,2022,1,0
159,2022-06-08,8,23,6,2,2022,2,0
160,2022-06-09,9,23,6,2,2022,3,0
161,2022-06-10,10,23,6,2,2022,4,0
162,2022-06-11,11,23,6,2,2022,5,1
163,2022-06-12,12,23,6,2,2022,6,1
164,2022-06-13,13,24,6,2,2022,0,0
165,2022-06-14,14,24,6,2,2022,1,0
166,2022-06-15,15,24,6,2,2022,2,0
167,2022-06-16,16,24,6,2,2022,3,0
168,2022-06-17,17,24,6,2,2022,4,0
169,2022-06-18,18,24,6,2,2022,5,1
170,2022-06-19,19,24,6,2,2022,6,1
171,2022-06-20,20,25,6,2,2022,0,0
172,2022-06-21,21,25,6,2,2022,1,0
173,2022-06-22,22,25,6,2,2022,2,0
174,2022-06-23,23,25,6,2,2022,3,0
175,2022-06-24,24,25,6,2,2022,4,0
176,2022-06-25,25,25,6,2,2022,5,1
177,2022-06-26,26,25,6,2,2022,6,1
178,2022-06-27,27,26,6,2,2022,0,0
179,2022-06-28,28,26,6,2,2022,1,0
180,2022-06-29,29,26,6,2,2022,2,0
181,2022-06-30,30,26,6,2,2022,3,0
182,2022-07-01,1,26,7,3,2022,4,0
183,2022-07-02,2,26,7,3,2022,5,1
184,2022-07-03,3,26,7,3,2022,6,1
185,2022-07-04,4,27,7,3,2022,0,0
186,2022-07-05,5,27,7,3,2022,1,0
187,2022-07-06,6,27,7,3,2022,2,0
188,2022-07-07,7,27,7,3,2022,3,0
189,2022-07-08,8,27,7,3,2022,4,0
190,2022-07-09,9,27,7,3,2022,5,1
191,2022-07-10,10,27,7,3,2022,6,1
192,2022-07-11,11,28,7,3,2022,0,0
193,2022-07-12,12,28,7,3,2022,1,0
194,2022-07-13,13,28,7,3,2022,2,0
195,2022-07-14,14,28,7,3,2022,3,0
196,2022-07-15,15,28,7,3,2022,4,0
197,2022-07-16,16,28,7,3,2022,5,1
198,2022-07-17,17,28,7,3,2022,6,1
199,2022-07-18,18,29,7,3,2022,0,0
200,2022-07-19,19,29,7,3,2022,1,0
201,2022-07-20,20,29,7,3,2022,2,0
202,2022-07-21,21,29,7,3,2022,3,0
203,2022-07-22,22,29,7,3,2022,4,0
204,2022-07-23,23,29,7,3,2022,5,1
205,2022-07-24,24,29,7,3,2022,6,1
206,2022-07-25,25,30,7,3,2022,0,0
207,2022-07-26,26,30,7,3,2022,1,0
208,2022-07-27,27,30,7,3,2022,2,0
209,2022-07-28,28,30,7,3,2022,3,0
210,2022-07-29,29,30,7,3,2022,4,0
211,2022-07-30,30,30,7,3,2022,5,1
212,2022-07-31,31,30,7,3,2022,6,1
213,2022-08-01,1,31,8,3,2022,0,0
214,2022-08-02,2,31,8,3,2022,1,0
215,2022-08-03,3,31,8,3,2022,2,0
216,2022-08-04,4,31,8,3,2022,3,0
217,2022-08-05,5,31,8,3,2022,4,0
218,2022-08-06,6,31,8,3,2022,5,1
219,2022-08-07,7,31,8,3,2022,6,1
220,2022-08-08,8,32,8,3,2022,0,0
221,2022-08-09,9,32,8,3,2022,1,0
222,2022-08-10,10,32,8,3,2022,2,0
223,2022-08-11,11,32,8,3,2022,3,0
224,2022-08-12,12,32,8,3,2022,4,0
225,2022-08-13,13,32,8,3,2022,5,1
226,2022-08-14,14,32,8,3,2022,6,1
227,2022-08-15,15,33,8,3,2022,0,0
228,2022-08-16,16,33,8,3,2022,1,0
229,2022-08-17,17,33,8,3,2022,2,0
230,2022-08-18,18,33,8,3,2022,3,0
231,2022-08-19,19,33,8,3,2022,4,0
232,2022-08-20,20,33,8,3,2022,5,1
233,2022-08-21,21,33,8,3,2022,6,1
234,2022-08-22,22,34,8,3,2022,0,0
235,2022-08-23,23,34,8,3,2022,1,0
236,2022-08-24,24,34,8,3,2022,2,0
237,2022-08-25,25,34,8,3,2022,3,0
238,2022-08-26,26,34,8,3,2022,4,0
239,2022-08-27,27,34,8,3,2022,5,1
240,2022-08-28,28,34,8,3,2022,6,1
241,2022-08-29,29,35,8,3,2022,0,0
242,2022-08-30,30,35,8,3,2022,1,0
243,2022-08-31,31,35,8,3,2022,2,0
244,2022-09-01,1,35,9,3,2022,3,0
245,2022-09-02,2,35,9,3,2022,4,0
246,2022-09-03,3,35,9,3,2022,5,1
247,2022-09-04,4,35,9,3,2022,6,1
248,2022-09-05,5,36,9,3,2022,0,0
249,2022-09-06,6,36,9,3,2022,1,0
250,2022-09-07,7,36,9,3,2022,2,0
251,2022-09-08,8,36,9,3,2022,3,0
252,2022-09-09,9,36,9,3,2022,4,0
253,2022-09-10,10,36,9,3,2022,5,1
254,2022-09-11,11,36,9,3,2022,6,1
255,2022-09-12,12,37,9,3,2022,0,0
256,2022-09-13,13,37,9,3,2022,1,0
257,2022-09-14,14,37,9,3,2022,2,0
258,2022-09-15,15,37,9,3,2022,3,0
259,2022-09-16,16,37,9,3,2022,4,0
260,2022-09-17,17,37,9,3,2022,5,1
261,2022-09-18,18,37,9,3,2022,6,1
262,2022-09-19,19,38,9,3,2022,0,0
263,2022-09-20,20,38,9,3,2022,1,0
264,2022-09-21,21,38,9,3,2022,2,0
265,2022-09-22,22,38,9,3,2022,3,0
266,2022-09-23,23,38,9,3,2022,4,0
267,2022-09-24,24,38,9,3,2022,5,1
268,2022-09-25,25,38,9,3,2022,6,1
269,2022-09-26,26,39,9,3,2022,0,0
270,2022-09-27,27,39,9,3,2022,1,0
271,2022-09-28,28,39,9,3,2022,2,0
272,2022-09-29,29,39,9,3,2022,3,0
273,2022-09-30,30,39,9,3,2022,4,0
274,2022-10-01,1,39,10,4,2022,5,1
275,2022-10-02,2,39,10,4,2022,6,1
276,2022-10-03,3,40,10,4,2022,0,0
277,2022-10-04,4,40,10,4,2022,1,0
278,2022-10-05,5,40,10,4,2022,2,0
279,2022-10-06,6,40,10,4,2022,3,0
280,2022-10-07,7,40,10,4,2022,4,0
281,2022-10-08,8,40,10,4,2022,5,1
282,2022-10-09,9,40,10,4,2022,6,1
283,2022-10-10,10,41,10,4,2022,0,0
284,2022-10-11,11,41,10,4,2022,1,0
285,2022-10-12,12,41,10,4,2022,2,0
286,2022-10-13,13,41,10,4,2022,3,0
287,2022-10-14,14,41,10,4,2022,4,0
288,2022-10-15,15,41,10,4,2022,5,1
289,2022-10-16,16,41,10,4,2022,6,1
290,2022-10-17,17,42,10,4,2022,0,0
291,2022-10-18,18,42,10,4,2022,1,0
292,2022-10-19,19,42,10,4,2022,2,0
293,2022-10-20,20,42,10,4,2022,3,0
294,2022-10-21,21,42,10,4,2022,4,0
295,2022-10-22,22,42,10,4,2022,5,1
296,2022-10-23,23,42,10,4,2022,6,1
297,2022-10-24,24,43,10,4,2022,0,0
298,2022-10-25,25,43,10,4,2022,1,0
299,2022-10-26,26,43,10,4,2022,2,0
300,2022-10-27,27,43,10,4,2022,3,0
301,2022-10-28,28,43,10,4,2022,4,0
302,2022-10-29,29,43,10,4,2022,5,1
303,2022-10-30,30,43,10,4,2022,6,1
304,2022-10-31,31,44,10,4,2022,0,0
305,2022-11-01,1,44,11,4,2022,1,0
306,2022-11-02,2,44,11,4,2022,2,0
307,2022-11-03,3,44,11,4,2022,3,0
308,2022-11-04,4,44,11,4,2022,4,0
309,2022-11-05,5,44,11,4,2022,5,1
310,2022-11-06,6,44,11,4,2022,6,1
311,2022-11-07,7,45,11,4,2022,0,0
312,2022-11-08,8,45,11,4,2022,1,0
313,2022-11-09,9,45,11,4,2022,2,0
314,2022-11-10,10,45,11,4,2022,3,0
315,2022-11-11,11,45,11,4,2022,4,0
316,2022-11-12,12,45,11,4,2022,5,1
317,2022-11-13,13,45,11,4,2022,6,1
318,2022-11-14,14,46,11,4,2022,0,0
319,2022-11-15,15,46,11,4,2022,1,0
320,2022-11-16,16,46,11,4,2022,2,0
321,2022-11-17,17,46,11,4,2022,3,0
322,2022-11-18,18,46,11,4,2022,4,0
323,2022-11-19,19,46,11,4,2022,5,1
324,2022-11-20,20,46,11,4,2022,6,1
325,2022-11-21,21,47,11,4,2022,0,0
326,2022-11-22,22,47,11,4,2022,1,0
327,2022-11-23,23,47,11,4,2022,2,0
328,2022-11-24,24,47,11,4,2022,3,0
329,2022-11-25,25,47,11,4,2022,4,0
330,2022-11-26,26,47,11,4,2022,5,1
331,2022-11-27,27,47,11,4,2022,6,1
332,2022-11-28,28,48,11,4,2022,0,0
333,2022-11-29,29,48,11,4,2022,1,0
334,2022-11-30,30,48,11,4,2022,2,0
335,2022-12-01,1,48,12,4,2022,3,0
336,2022-12-02,2,48,12,4,2022,4,0
337,2022-12-03,3,48,12,4,2022,5,1
338,2022-12-04,4,48,12,4,2022,6,1
339,2022-12-05,5,49,12,4,2022,0,0
340,2022-12-06,6,49,12,4,2022,1,0
341,2022-12-07,7,49,12,4,2022,2,0
342,2022-12-08,8,49,12,4,2022,3,0
343,2022-12-09,9,49,12,4,2022,4,0
344,2022-12-10,10,49,12,4,2022,5,1
345,2022-12-11,11,49,12,4,2022,6,1
346,2022-12-12,12,50,12,4,2022,0,0
347,2022-12-13,13,50,12,4,2022,1,0
348,2022-12-14,14,50,12,4,2022,2,0
349,2022-12-15,15,50,12,4,2022,3,0
350,2022-12-16,16,50,12,4,2022,4,0
351,2022-12-17,17,50,12,4,2022,5,1
352,2022-12-18,18,50,12,4,2022,6,1
353,2022-12-19,19,51,12,4,2022,0,0
354,2022-12-20,20,51,12,4,2022,1,0
355,2022-12-21,21,51,12,4,2022,2,0
356,2022-12-22,22,51,12,4,2022,3,0
357,2022-12-23,23,51,12,4,2022,4,0
358,2022-12-24,24,51,12,4,2022,5,1
359,2022-12-25,25,51,12,4,2022,6,1
360,2022-12-26,26,52,12,4,2022,0,0
361,2022-12-27,27,52,12,4,2022,1,0
362,2022-12-28,28,52,12,4,2022,2,0
363,2022-12-29,29,52,12,4,2022,3,0
364,2022-12-30,30,52,12,4,2022,4,0
365,2022-12-31,31,52,12,4,2022,5,1
366,2023-01-01,1,52,1,1,2023,6,1
367,2023-01-02,2,1,1,1,2023,0,0
368,2023-01-03,3,1,1,1,2023,1,0
369,2023-01-04,4,1,1,1,2023,2,0
370,2023-01-05,5,1,1,1,2023,3,0
371,2023-01-06,6,1,1,1,2023,4,0
372,2023-01-07,7,1,1,1,2023,5,1
373,2023-01-08,8,1,1,1,2023,6,1
374,2023-01-09,9,2,1,1,2023,0,0
375,2023-01-10,10,2,1,1,2023,1,0
376,2023-01-11,11,2,1,1,2023,2,0
377,2023-01-12,12,2,1,1,2023,3,0
378,2023-01-13,13,2,1,1,2023,4,0
379,2023-01-14,14,2,1,1,2023,5,1
380,2023-01-15,15,2,1,1,2023,6,1
381,2023-01-16,16,3,1,1,2023,0,0
382,2023-01-17,17,3,1,1,2023,1,0
383,2023-01-18,18,3,1,1,2023,2,0
384,2023-01-19,19,3,1,1,2023,3,0
385,2023-01-20,20,3,1,1,2023,4,0
386,2023-01-21,21,3,1,1,2023,5,1
387,2023-01-22,22,3,1,1,2023,6,1
388,2023-01-23,23,4,1,1,2023,0,0
389,2023-01-24,24,4,1,1,2023,1,0
390,2023-01-25,25,4,1,1,2023,2,0
391,2023-01-26,26,4,1,1,2023,3,0
392,2023-01-27,27,4,1,1,2023,4,0
393,2023-01-28,28,4,1,1,2023,5,1
394,2023-01-29,29,4,1,1,2023,6,1
395,2023-01-30,30,5,1,1,2023,0,0
396,2023-01-31,31,5,1,1,2023,1,0
397,2023-02-01,1,5,2,1,2023,2,0
398,2023-02-02,2,5,2,1,2023,3,0
399,2023-02-03,3,5,2,1,2023,4,0
400,2023-02-04,4,5,2,1,2023,5,1
401,2023-02-05,5,5,2,1,2023,6,1
402,2023-02-06,6,6,2,1,2023,0,0
403,2023-02-07,7,6,2,1,2023,1,0
404,2023-02-08,8,6,2,1,2023,2,0
405,2023-02-09,9,6,2,1,2023,3,0
406,2023-02-10,10,6,2,1,2023,4,0
407,2023-02-11,11,6,2,1,2023,5,1
408,2023-02-12,12,6,2,1,2023,6,1
409,2023-02-13,13,7,2,1,2023,0,0
410,2023-02-14,14,7,2,1,2023,1,0
411,2023-02-15,15,7,2,1,2023,2,0
412,2023-02-16,16,7,2,1,2023,3,0
413,2023-02-17,17,7,2,1,2023,4,0
414,2023-02-18,18,7,2,1,2023,5,1
415,2023-02-19,19,7,2,1,2023,6,1
416,2023-02-20,20,8,2,1,2023,0,0
417,2023-02-21,21,8,2,1,2023,1,0
418,2023-02-22,22,8,2,1,2023,2,0
419,2023-02-23,23,8,2,1,2023,3,0
420,2023-02-24,24,8,2,1,2023,4,0
421,2023-02-25,25,8,2,1,2023,5,1
422,2023-02-26,26,8,2,1,2023,6,1
423,2023-02-27,27,9,2,1,2023,0,0
424,2023-02-28,28,9,2,1,2023,1,0
425,2023-03-01,1,9,3,1,2023,2,0
426,2023-03-02,2,9,3,1,2023,3,0
427,2023-03-03,3,9,3,1,2023,4,0
428,2023-03-04,4,9,3,1,2023,5,1
429,2023-03-05,5,9,3,1,2023,6,1
430,2023-03-06,6,10,3,1,2023,0,0
431,2023-03-07,7,10,3,1,2023,1,0
432,2023-03-08,8,10,3,1,2023,2,0
433,2023-03-09,9,10,3,1,2023,3,0
434,2023-03-10,10,10,3,1,2023,4,0
435,2023-03-11,11,10,3,1,2023,5,1
436,2023-03-12,12,10,3,1,2023,6,1
437,2023-03-13,13,11,3,1,2023,0,0
438,2023-03-14,14,11,3,1,2023,1,0
439,2023-03-15,15,11,3,1,2023,2,0
440,2023-03-16,16,11,3,1,2023,3,0
441,2023-03-17,17,11,3,1,2023,4,0
442,2023-03-18,18,11,3,1,2023,5,1
443,2023-03-19,19,11,3,1,2023,6,1
444,2023-03-20,20,12,3,1,2023,0,0
445,2023-03-21,21,12,3,1,2023,1,0
446,2023-03-22,22,12,3,1,2023,2,0
447,2023-03-23,23,12,3,1,2023,3,0
448,2023-03-24,24,12,3,1,2023,4,0
449,2023-03-25,25,12,3,1,2023,5,1
450,2023-03-26,26,12,3,1,2023,6,1
451,2023-03-27,27,13,3,1,2023,0,0
452,2023-03-28,28,13,3,1,2023,1,0
453,2023-03-29,29,13,3,1,2023,2,0
454,2023-03-30,30,13,3,1,2023,3,0
455,2023-03-31,31,13,3,1,2023,4,0
456,2023-04-01,1,13,4,2,2023,5,1
457,2023-04-02,2,13,4,2,2023,6,1
458,2023-04-03,3,14,4,2,2023,0,0
459,2023-04-04,4,14,4,2,2023,1,0
460,2023-04-05,5,14,4,2,2023,2,0
461,2023-04-06,6,14,4,2,2023,3,0
462,2023-04-07,7,14,4,2,2023,4,0
463,2023-04-08,8,14,4,2,2023,5,1
464,2023-04-09,9,14,4,2,2023,6,1
465,2023-04-10,10,15,4,2,2023,0,0
466,2023-04-11,11,15,4,2,2023,1,0
467,2023-04-12,12,15,4,2,2023,2,0
468,2023-04-13,13,15,4,2,2023,3,0
469,2023-04-14,14,15,4,2,2023,4,0
470,2023-04-15,15,15,4,2,2023,5,1
471,2023-04-16,16,15,4,2,2023,6,1
472,2023-04-17,17,16,4,2,2023,0,0
473,2023-04-18,18,16,4,2,2023,1,0
474,2023-04-19,19,16,4,2,2023,2,0
475,2023-04-20,20,16,4,2,2023,3,0
476,2023-04-21,21,16,4,2,2023,4,0
477,2023-04-22,22,16,4,2,2023,5,1
478,2023-04-23,23,16,4,2,2023,6,1
479,2023-04-24,24,17,4,2,2023,0,0
480,2023-04-25,25,17,4,2,2023,1,0
481,2023-04-26,26,17,4,2,2023,2,0
482,2023-04-27,27,17,4,2,2023,3,0
483,2023-04-28,28,17,4,2,2023,4,0
484,2023-04-29,29,17,4,2,2023,5,1
485,2023-04-30,30,17,4,2,2023,6,1
486,2023-05-01,1,18,5,2,2023,0,0
487,2023-05-02,2,18,5,2,2023,1,0
488,2023-05-03,3,18,5,2,2023,2,0
489,2023-05-04,4,18,5,2,2023,3,0
490,2023-05-05,5,18,5,2,2023,4,0
491,2023-05-06,6,18,5,2,2023,5,1
492,2023-05-07,7,18,5,2,2023,6,1
493,2023-05-08,8,19,5,2,2023,0,0
494,2023-05-09,9,19,5,2,2023,1,0
495,2023-05-10,10,19,5,2,2023,2,0
496,2023-05-11,11,19,5,2,2023,3,0
497,2023-05-12,12,19,5,2,2023,4,0
498,2023-05-13,13,19,5,2,2023,5,1
499,2023-05-14,14,19,5,2,2023,6,1
500,2023-05-15,15,20,5,2,2023,0,0
501,2023-05-16,16,20,5,2,2023,1,0
502,2023-05-17,17,20,5,2,2023,2,0
503,2023-05-18,18,20,5,2,2023,3,0
504,2023-05-19,19,20,5,2,2023,4,0
505,2023-05-20,20,20,5,2,2023,5,1
506,2023-05-21,21,20,5,2,2023,6,1
507,2023-05-22,22,21,5,2,2023,0,0
508,2023-05-23,23,21,5,2,2023,1,0
509,2023-05-24,24,21,5,2,2023,2,0
510,2023-05-25,25,21,5,2,2023,3,0
511,2023-05-26,26,21,5,2,2023,4,0
512,2023-05-27,27,21,5,2,2023,5,1
513,2023-05-28,28,21,5,2,2023,6,1
514,2023-05-29,29,22,5,2,2023,0,0
515,2023-05-30,30,22,5,2,2023,1,0
516,2023-05-31,31,22,5,2,2023,2,0
517,2023-06-01,1,22,6,2,2023,3,0
518,2023-06-02,2,22,6,2,2023,4,0
519,2023-06-03,3,22,6,2,2023,5,1
520,2023-06-04,4,22,6,2,2023,6,1
521,2023-06-05,5,23,6,2,2023,0,0
522,2023-06-06,6,23,6,2,2023,1,0
523,2023-06-07,7,23,6,2,2023,2,0
524,2023-06-08,8,23,6,2,2023,3,0
525,2023-06-09,9,23,6,2,2023,4,0
526,2023-06-10,10,23,6,2,2023,5,1
527,2023-06-11,11,23,6,2,2023,6,1
528,2023-06-12,12,24,6,2,2023,0,0
529,2023-06-13,13,24,6,2,2023,1,0
530,2023-06-14,14,24,6,2,2023,2,0
531,2023-06-15,15,24,6,2,2023,3,0
532,2023-06-16,16,24,6,2,2023,4,0
533,2023-06-17,17,24,6,2,2023,5,1
534,2023-06-18,18,24,6,2,2023,6,1
535,2023-06-19,19,25,6,2,2023,0,0
536,2023-06-20,20,25,6,2,2023,1,0
537,2023-06-21,21,25,6,2,2023,2,0
538,2023-06-22,22,25,6,2,2023,3,0
539,2023-06-23,23,25,6,2,2023,4,0
540,2023-06-24,24,25,6,2,2023,5,1
541,2023-06-25,25,25,6,2,2023,6,1
542,2023-06-26,26,26,6,2,2023,0,0
543,2023-06-27,27,26,6,2,2023,1,0
544,2023-06-28,28,26,6,2,2023,2,0
545,2023-06-29,29,26,6,2,2023,3,0
546,2023-06-30,30,26,6,2,2023,4,0
547,2023-07-01,1,26,7,3,2023,5,1
548,2023-07-02,2,26,7,3,2023,6,1
549,2023-07-03,3,27,7,3,2023,0,0
550,2023-07-04,4,27,7,3,2023,1,0
551,2023-07-05,5,27,7,3,2023,2,0
552,2023-07-06,6,27,7,3,2023,3,0
553,2023-07-07,7,27,7,3,2023,4,0
554,2023-07-08,8,27,7,3,2023,5,1
555,2023-07-09,9,27,7,3,2023,6,1
556,2023-07-10,10,28,7,3,2023,0,0
557,2023-07-11,11,28,7,3,2023,1,0
558,2023-07-12,12,28,7,3,2023,2,0
559,2023-07-13,13,28,7,3,2023,3,0
560,2023-07-14,14,28,7,3,2023,4,0
561,2023-07-15,15,28,7,3,2023,5,1
562,2023-07-16,16,28,7,3,2023,6,1
563,2023-07-17,17,29,7,3,2023,0,0
564,2023-07-18,18,29,7,3,2023,1,0
565,2023-07-19,19,29,7,3,2023,2,0
566,2023-07-20,20,29,7,3,2023,3,0
567,2023-07-21,21,29,7,3,2023,4,0
568,2023-07-22,22,29,7,3,2023,5,1
569,2023-07-23,23,29,7,3,2023,6,1
570,2023-07-24,24,30,7,3,2023,0,0
571,2023-07-25,25,30,7,3,2023,1,0
572,2023-07-26,26,30,7,3,2023,2,0
573,2023-07-27,27,30,7,3,2023,3,0
574,2023-07-28,28,30,7,3,2023,4,0
575,2023-07-29,29,30,7,3,2023,5,1
576,2023-07-30,30,30,7,3,2023,6,1
577,2023-07-31,31,31,7,3,2023,0,0
578,2023-08-01,1,31,8,3,2023,1,0
579,2023-08-02,2,31,8,3,2023,2,0
580,2023-08-03,3,31,8,3,2023,3,0
